"online_01" "online_02" "online_03" "online_04" "online_05" "online_06" "online_07" "online_08" "online_09" "online_10" "online_11" "online_12" "online_13" "online_14" "online_15" "online_16" "online_17" "online_18" "online_19" "online_20" "online_21" "online_22" "online_23" "online_24" "online_25" "online_26" "online_27" "online_28" "print_01" "print_02" "print_03" "print_04" "print_05" "print_06" "print_07" "print_08" "print_09" "print_10" "print_11" "print_12" "print_13" "print_14" "print_15" "print_16" "print_17" "print_18" "print_19" "print_20" "print_21"
"und" 2.53491981376099 3.1077694235589 2.65132566283142 3.97184514831574 3.24074074074074 5.14228657014478 3.37662337662338 3.95 4.45344129554656 3.58370152184585 3.4 4.28134556574924 3.89415876185721 4.04738400789733 4.442200908632 4.84941296579888 3.84241245136187 4.42786069651741 3.78486055776892 3.35570469798658 3.70185092546273 3.79023883696781 5.27363184079602 4.86352357320099 3.43454454952713 3.82751937984496 4.31619786614937 3.88538125303545 2.90519877675841 3.61691288843607 3.11264822134387 3.05102577590742 3.38461538461538 3.37804272230502 3.30957230142566 3.05458187280921 3.26633165829146 3.08704453441296 3.01174068402246 3.93939393939394 2.80842527582748 3.52040816326531 3.26797385620915 3.98162327718224 2.8868906767629 2.43407707910751 2.70812437311936 3.01980198019802 2.9520295202952
"die" 2.89705121572685 4.06015037593985 4.0520260130065 3.6701860231272 3.49794238683128 2.79580629056415 2.75324675324675 2.25 2.83400809716599 2.70004909180167 3.2 2.85423037716616 2.59610584123814 2.76406712734452 3.23069156991418 3.36906584992343 3.35603112840467 2.58706467661692 2.98804780876494 3.35570469798658 2.75137568784392 2.44029075804777 1.44278606965174 2.08436724565757 3.68342458934793 3.48837209302326 2.95829291949564 2.1369596891695 3.00713557594292 2.80183392766174 2.71739130434783 2.36717517096265 3.07692307692308 2.73224043715847 3.15682281059063 2.8042063094642 3.41708542713568 3.4919028340081 2.90964777947933 2.87878787878788 3.86158475426279 3.41836734693878 3.97184514831574 2.65441551812149 2.22432560340748 3.1947261663286 2.95887662988967 3.26732673267327 2.9520295202952
"der" 3.46611484738748 2.60651629072682 2.55127563781891 3.26797385620915 3.80658436213992 2.09685471792312 2.49350649350649 2.05 2.32793522267206 3.09278350515464 3.45 2.29357798165138 2.94558162755866 2.56663376110563 3.73548712771328 2.85860132720776 2.91828793774319 3.43283582089552 3.83466135458167 3.20082601961797 2.40120060030015 2.3883696780893 2.18905472636816 1.09181141439206 3.23544051767048 2.47093023255814 2.4733268671193 2.71976687712482 2.85423037716616 3.51502801833928 1.92687747035573 2.47238295633877 2.66666666666667 2.58320914058619 2.54582484725051 3.25488232348523 2.76381909547739 2.12550607287449 2.75650842266462 2.82828282828283 2.2567703109328 3.06122448979592 2.81548516842635 3.2669729453803 2.55560814008519 2.73833671399594 3.66098294884654 2.57425742574257 2.9520295202952
"den" 2.69011898603207 1.95488721804511 2.15107553776888 1.80995475113122 1.33744855967078 1.69745381927109 2.49350649350649 2.3 1.417004048583 1.76730486008837 2.25 1.58002038735984 2.69595606590115 3.84995064165844 2.52397778899546 2.39918325676366 1.75097276264591 2.38805970149254 2.29083665338645 1.91017036654621 1.75087543771886 3.84215991692627 3.53233830845771 3.47394540942928 2.68790443006471 1.25968992248062 1.79437439379243 2.03982515784361 1.58002038735984 1.52827305145186 1.6798418972332 2.0515518148343 1.69230769230769 1.78837555886736 1.68024439918534 1.70255383074612 1.25628140703518 1.46761133603239 1.58244002041858 1.61616161616162 1.15346038114343 1.73469387755102 1.45801910507793 2.04185809086268 1.6090866067203 1.41987829614604 2.20661985957874 1.58415841584158 1.4760147601476
"in" 2.06932229694775 1.45363408521303 2.65132566283142 2.16189039718451 1.59465020576132 1.8472291562656 1.92207792207792 1.95 1.31578947368421 1.66912125675012 1.9 1.42711518858308 1.7973040439341 1.77690029615005 2.27158001009591 2.14395099540582 1.94552529182879 1.59203980099502 2.14143426294821 1.60041300980898 2.40120060030015 1.81723779854621 1.69154228855721 1.78660049627792 1.84171229467397 1.84108527131783 2.3278370514064 1.06847984458475 2.34454638124363 2.34335201222618 1.33399209486166 1.73592845870594 2.41025641025641 1.73869846000994 2.39307535641548 1.85277916875313 1.85929648241206 2.0748987854251 1.78662582950485 2.02020202020202 1.80541624874624 1.98979591836735 2.061337355455 2.24604389994895 1.6090866067203 2.07910750507099 2.40722166499499 1.83168316831683 2.16789667896679
"im" 1.75892395240559 1.8546365914787 1.65082541270635 0.955253896430367 0.977366255144033 3.94408387418872 1.81818181818182 2.65 2.12550607287449 1.71821305841924 1.3 2.65035677879715 2.44633050424363 2.61599210266535 2.01918223119637 1.58244002041858 1.55642023346304 1.34328358208955 1.19521912350598 0.980898296334538 1.05052526263132 2.28452751817238 3.33333333333333 3.52357320099256 1.09507217521155 1.35658914728682 1.35790494665373 1.26274890723652 1.78389398572885 1.01884870096791 0.691699604743083 1.47290899526565 0.923076923076923 0.894187779433681 0.814663951120163 1.4521782674011 1.25628140703518 1.3663967611336 1.83767228177642 1.51515151515152 0.952858575727182 0.969387755102041 1.70940170940171 1.12302194997448 0.851869380028396 1.77484787018256 1.95586760280843 1.58415841584158 1.33763837638376
"mit" 1.75892395240559 1.20300751879699 1.30065032516258 1.86023127199598 1.23456790123457 2.34648027958063 1.45454545454545 2.05 1.67004048582996 1.76730486008837 1.15 1.01936799184506 2.39640539191213 1.92497532082922 1.86774356385664 1.63348647269015 0.972762645914397 1.7910447761194 1.24501992031873 1.23902942694889 1.15057528764382 1.66147455867082 2.6865671641791 2.77915632754342 1.59283225485316 1.21124031007752 1.50339476236663 1.16561437591064 1.7329255861366 0.815078960774325 1.33399209486166 0.999473961073119 1.12820512820513 1.58966716343766 1.06924643584521 1.15172759138708 1.35678391959799 1.72064777327935 1.17406840224604 1.81818181818182 1.10330992978937 1.02040816326531 1.30718954248366 0.969882593159775 0.851869380028396 0.862068965517241 1.20361083249749 0.891089108910891 1.66051660516605
"für" 1.03466114847387 1.35338345864662 1.65082541270635 1.2569130216189 1.13168724279835 1.04842735896156 0.675324675324675 1.8 1.11336032388664 0.78546882670594 0.7 1.12130479102956 1.09835247129306 0.789733464955578 1.00959111559818 1.12302194997448 0.826848249027237 0.995024875621891 1.09561752988048 1.44553433144037 1.10055027513757 1.34994807892004 0.796019900497512 1.09181141439206 1.39372822299652 1.16279069767442 1.26091173617847 0.679941719281205 1.12130479102956 0.458481915435558 1.18577075098814 1.26249342451341 0.974358974358974 0.546448087431694 0.763747454175153 1.05157736604907 1.00502512562814 0.759109311740891 0.765696784073507 1.06060606060606 1.35406218655968 0.561224489795918 0.754147812971342 0.765696784073507 0.757217226691907 1.3184584178499 0.852557673019057 0.693069306930693 1.33763837638376
"auf" 0.931195033626487 1.00250626566416 0.650325162581291 1.10608345902464 0.977366255144033 1.09835247129306 1.24675324675325 1.1 1.01214574898785 0.883652430044183 0.9 1.37614678899083 0.449326010983525 1.18460019743337 0.555275113579 1.27616130678918 0.924124513618677 0.895522388059702 0.647410358565737 1.54878678368611 1.55077538769385 1.50571131879543 0.746268656716418 0.446650124069479 0.895968143354903 0.872093023255814 0.921435499515034 0.971345313258864 0.764525993883792 0.76413652572593 0.592885375494071 0.789058390320884 1.07692307692308 1.04321907600596 0.610997963340122 0.600901352028042 0.703517587939699 1.26518218623482 0.765696784073507 0.909090909090909 0.702106318956871 0.714285714285714 1.00553041729512 0.612557427258805 0.946521533364884 0.963488843813387 0.752256770310933 1.03960396039604 0.599630996309963
"das" 1.03466114847387 1.40350877192982 0.450225112556278 0.65359477124183 0.308641975308642 0.499251123315027 0.675324675324675 0.8 0.910931174089069 1.22729504172803 0.65 0.91743119266055 1.14827758362456 0.345508390918065 0.706713780918728 1.12302194997448 1.16731517509728 0.995024875621891 0.697211155378486 0.567888487351575 0.950475237618809 0.726895119418484 0.54726368159204 0.645161290322581 0.945744151319064 0.436046511627907 0.824442289039767 0.971345313258864 0.866462793068298 1.37544574630667 1.18577075098814 0.999473961073119 0.769230769230769 0.993541977148535 0.763747454175153 1.05157736604907 1.00502512562814 1.26518218623482 0.816743236345074 0.909090909090909 1.40421263791374 1.42857142857143 1.00553041729512 0.561510974987238 0.804543303360151 0.608519269776876 0.802407221664995 0.94059405940594 0.691881918819188
"am" 1.13812726332126 0.852130325814536 0.700350175087544 1.6088486676722 0.977366255144033 0.698951572641038 0.935064935064935 1 1.21457489878543 0.883652430044183 0.9 1.42711518858308 1.14827758362456 1.38203356367226 1.06007067137809 1.27616130678918 1.55642023346304 1.04477611940298 0.647410358565737 0.722767165720186 0.80040020010005 1.14226375908619 0.497512437810945 0.843672456575682 0.547536087605774 0.678294573643411 1.1639185257032 0.582807187955318 0.509683995922528 0.560366785532348 1.08695652173913 0.789058390320884 0.717948717948718 0.844510680576254 0.560081466395112 0.801201802704056 0.603015075376884 0.455465587044534 0.510464522715671 0.454545454545455 0.752256770310933 0.969387755102041 0.804424333836099 0.35732516590097 0.851869380028396 0.253549695740365 1.20361083249749 0.297029702970297 0.507380073800738
"sich" 0.517330574236937 0.651629072681704 1.05052526263132 1.00553041729512 0.565843621399177 0.649026460309536 1.2987012987013 1.6 0.961538461538462 1.12911143838979 0.35 0.91743119266055 1.24812780828757 0.592300098716683 0.959111559818274 0.663603879530373 0.826848249027237 1.04477611940298 0.249003984063745 1.08415074858028 0.80040020010005 1.29802699896158 1.54228855721393 1.24069478908189 1.49328023892484 0.872093023255814 1.3094083414161 0.825643516270034 0.458715596330275 0.560366785532348 0.494071146245059 0.894266175697002 0.666666666666667 0.546448087431694 0.610997963340122 1.00150225338007 0.603015075376884 0.455465587044534 0.816743236345074 0.757575757575758 1.15346038114343 0.357142857142857 0.553041729512318 0.561510974987238 0.473260766682442 0.659229208924949 0.752256770310933 0.99009900990099 0.830258302583026
"platz" 1.13812726332126 0.401002506265664 0.250125062531266 0.351935646053293 0.360082304526749 1.7473789316026 2.02597402597403 1.85 1.51821862348178 0.638193421698576 0.2 2.03873598369011 1.29805292061907 2.07305034550839 1.61534578495709 0.918836140888208 0.340466926070039 0.895522388059702 0.199203187250996 1.65203923593185 0.80040020010005 2.85565939771547 2.43781094527363 2.18362282878412 0.647088103534097 0.193798449612403 0.824442289039767 1.06847984458475 0.458715596330275 0.152827305145186 0.0988142292490119 0.526038926880589 0.102564102564103 0.347739692001987 0.0509164969450102 0.450676014021032 0.351758793969849 0.101214574898785 0.102092904543134 0.555555555555556 0.100300902708124 0.204081632653061 0.301659125188537 0.204185809086269 0.0946521533364884 0.202839756592292 1.00300902708124 0.297029702970297 0.138376383763838
